Book	Chapter	Verse	Heading TLX	Heading TSX
TIT	1	1	Introduction	Paul salue Tite
TIT	1	4		
TIT	1	5	Les qualités d’un bon ancien dans l’Église	Comment choisir un bon ancien pour l’Église ?
TIT	1	10	Les faux docteurs	Attention aux faux enseignants
TIT	2	1	L’enseignement de Tite pour les chrétiens de Crète	Ce que Tite doit enseigner aux chrétiens de Crète
TIT	2	3		
TIT	2	6		
TIT	2	9		
TIT	2	11		
TIT	3	1	Le bon comportement chrétien	Le bon comportement chrétien
TIT	3	12	Conclusion 	Derniers mots
